time,layer_name,a,h,stress_theta,stress_z,rho,pressure,flow_rate,wss
364.0,artery,0.0010387771217645783,0.00019367918993772387,119810.55853151993,23453.92753429966,1668.7625048800046,22338.15787172249,1e-06,4.543630244434423
365.0,artery,0.0010386441805902264,0.0001936143024822245,119835.4542905189,23471.792358938084,1667.9597516956624,22338.15787172249,1e-06,4.545375152465245
366.0,artery,0.001038511390217176,0.00019354933737179673,119860.43422295857,23489.684860216432,1667.1566990772837,22338.15787172249,1e-06,4.547118973232528
367.0,artery,0.0010383787547597536,0.0001934842984751051,119885.49654000347,23507.604091315774,1666.3533888981356,22338.15787172249,1e-06,4.548861650196677
368.0,artery,0.0010382462782729041,0.00019341918962311724,119910.63946428412,23525.549112803375,1665.5498625615376,22338.15787172249,1e-06,4.550603127488485
369.0,artery,0.0010381139647526593,0.00019335401460913613,119935.86122995178,23543.51899263922,1664.7461610023604,22338.15787172249,1e-06,4.552343349905132
370.0,artery,0.0010379818181365664,0.00019328877718884638,119961.16008268141,23561.51280618069,1663.9423246885403,22338.15787172249,1e-06,4.554082262906666
371.0,artery,0.0010378498423041285,0.00019322348108036092,119986.53427968413,23579.529636187155,1663.1383936226462,22338.15787172249,1e-06,4.555819812612354
372.0,artery,0.0010377180410772583,0.0001931581299642702,120011.98208974123,23597.568572824093,1662.3344073434869,22338.15787172249,1e-06,4.557555945796803
373.0,artery,0.001037586418220703,0.00019309272748370098,120037.50179319512,23615.628713665967,1661.5304049277497,22338.15787172249,1e-06,4.559290609886481
374.0,artery,0.0010374549774425147,0.00019302727724437039,120063.09168200275,23633.709163699572,1660.7264249916898,22338.15787172249,1e-06,4.561023752955606
375.0,artery,0.0010373237223944595,0.0001929617828146555,120088.75005970494,23651.809035325405,1659.9225056928506,22338.15787172249,1e-06,4.5627553237228415
376.0,artery,0.001037186653034869,0.00019289718918962228,120106.51778512911,23669.83173682017,1659.1164797931851,22338.15787172249,1e-06,4.564564535026003
377.0,artery,0.0010370558397312317,0.00019283137124881042,120132.46718188131,23688.02426636674,1658.3085451944482,22338.15787172249,1e-06,4.566292063280045
378.0,artery,0.0010369253348399346,0.00019276528295432803,120158.64076714961,23706.286974158764,1657.5009413296566,22338.15787172249,1e-06,4.568016387396567
379.0,artery,0.00103679501985443,0.00019269918275106036,120184.86390759204,23724.56165795763,1656.6937521525447,22338.15787172249,1e-06,4.56973906874255
380.0,artery,0.001036664895618749,0.00019263307952860077,120211.13121380242,23742.846215644095,1655.8870036507028,22338.15787172249,1e-06,4.571460092910051
381.0,artery,0.0010365349661050067,0.0001925669754793696,120237.44182897775,23761.14005164741,1655.0807204414536,22338.15787172249,1e-06,4.573179404066706
382.0,artery,0.0010364052352776435,0.00019250087265235233,120263.7949815353,23779.44260266017,1654.2749272666485,22338.15787172249,1e-06,4.574896946377678
383.0,artery,0.001036275707011427,0.00019243477312608898,120290.18986766088,23797.75329866005,1653.4696490015083,22338.15787172249,1e-06,4.576612665092567
